year,pop
1950,2477674.732
1951,2520969.582
1952,2565291.179
1953,2615250.618
1954,2665306.975
1955,2718651.703
1956,2773492.579
1957,2828512.683
1958,2887221.03
1959,2944995.164
1960,2995589.212
1961,3042877.656
1962,3093863.563
1963,3159509.922
1964,3232048.572
1965,3302376.104
1966,3371847.862
1967,3440986.209
1968,3509910.122
1969,3583711.493
1970,3657599.057
1971,3733181.615
1972,3807144.569
1973,3882457.201
1974,3958045.806
1975,4032988.348
1976,4105886.113
1977,4179125.652
1978,4252419.327
1979,4326896.089
1980,4404269.653
1981,4483745.758
1982,4565509.559
1983,4650460.182
1984,4733308.294
1985,4818363.854
1986,4905097.372
1987,4995029.307
1988,5086939.683
1989,5177648.264
1990,5269760.352
1991,5362591.372
1992,5449900.363
1993,5535471.822
1994,5619395.224
1995,5702060.762
1996,5784378.146
1997,5865912.45
1998,5947050.072
1999,6027574.888
2000,6107942.028
2001,6189855.922
2002,6271638.043
2003,6353176.677
2004,6434620.053
2005,6516882.903
2006,6599469.335
2007,6683363.101
2008,6768533.988
2009,6854660.556
2010,6941951.26
2011,7029254.95
2012,7116995.9
2013,7206399.942
2014,7294786.798
2015,7383240.04
2016,7469955.033
2017,7556993.443
2018,7642651.364
2019,7724928.292
2020,7804973.773
2021,7876931.987
2022,7941658.316
2023,8008551.995
2024,8082070.9
2025,8155601.099
2026,8228375.807
2027,8300353.212
2028,8371602.13
2029,8442055.453
2030,8511723.329
2031,8580559.324
2032,8648506.165
2033,8715677.802
2034,8781919.281
2035,8847231.061
2036,8911563.741
2037,8974849.663
2038,9037203.076
2039,9098574.977
2040,9158747.453
2041,9217753.531
2042,9275593.07
2043,9332200.631
2044,9387472.21
2045,9441344.637
2046,9493742.512
2047,9544639.095
2048,9593956.678
2049,9641592.262
2050,9687440.029
2051,9731543.492
2052,9773770.339
2053,9814433.747
2054,9853288.635
2055,9890512.569
2056,9926097.169
2057,9960149.356
2058,9992730.945
2059,10023889.276
2060,10053522.446
2061,10081944.767
2062,10109201.361
2063,10135413.997
2064,10160484.234
2065,10184543.317
2066,10207386.483
2067,10229159.55
2068,10250008.009
2069,10269737.974
2070,10288411.766
2071,10305921.656
2072,10322362.95
2073,10337756.759
2074,10352026.226
2075,10365079.3
2076,10376909.097
2077,10387451.696
2078,10396712.303
2079,10404787.203
2080,10411746.641
2081,10417527.736
2082,10422175.242
2083,10425870.549
2084,10428582.251
2085,10430312.539
2086,10431045.663
2087,10430806.898
2088,10429728.349
2089,10427932.904
2090,10425269.389
2091,10421812.683
2092,10417481.581
2093,10412438.077
2094,10406544.1
2095,10400000.199
2096,10392611.49
2097,10384422.809
2098,10375354.087
2099,10365536.306
2100,10355002.417
